Pct_Delta,PCT_Change,M_P_LTV,M_P_STR,M_P_YOT,M_P_CIN,M_P_DIS,M_P_SEM,M_P_FAB,M_P_SNP,M_P_TWT,M_P_PIN,M_P_TIK,M_P_DCI,M_P_DRD,M_P_LRD,M_P_OOH,TlncT_P_LTV,TlncT_P_STR,TlncT_P_YOT,TlncT_P_CIN,TlncT_P_DIS,TlncT_P_SEM,TlncT_P_FAB,TlncT_P_SNP,TlncT_P_TWT,TlncT_P_PIN,TlncT_P_TIK,TlncT_P_DCI,TlncT_P_DRD,TlncT_P_LRD,TlncT_P_OOH,CPT_P_LTV,CPT_P_STR,CPT_P_YOT,CPT_P_CIN,CPT_P_DIS,CPT_P_SEM,CPT_P_FAB,CPT_P_SNP,CPT_P_TWT,CPT_P_PIN,CPT_P_TIK,CPT_P_DCI,CPT_P_DRD,CPT_P_LRD,CPT_P_OOH,MCPT_P_LTV,MCPT_P_STR,MCPT_P_YOT,MCPT_P_CIN,MCPT_P_DIS,MCPT_P_SEM,MCPT_P_FAB,MCPT_P_SNP,MCPT_P_TWT,MCPT_P_PIN,MCPT_P_TIK,MCPT_P_DCI,MCPT_P_DRD,MCPT_P_LRD,MCPT_P_OOH,nMCPT_P_LTV,nMCPT_P_STR,nMCPT_P_YOT,nMCPT_P_CIN,nMCPT_P_DIS,nMCPT_P_SEM,nMCPT_P_FAB,nMCPT_P_SNP,nMCPT_P_TWT,nMCPT_P_PIN,nMCPT_P_TIK,nMCPT_P_DCI,nMCPT_P_DRD,nMCPT_P_LRD,nMCPT_P_OOH,nMTIncT_P_LTV,nMTIncT_P_STR,nMTIncT_P_YOT,nMTIncT_P_CIN,nMTIncT_P_DIS,nMTIncT_P_SEM,nMTIncT_P_FAB,nMTIncT_P_SNP,nMTIncT_P_TWT,nMTIncT_P_PIN,nMTIncT_P_TIK,nMTIncT_P_DCI,nMTIncT_P_DRD,nMTIncT_P_LRD,nMTIncT_P_OOH
0.2,1,50262.9848,81502.1203,16583.2635,8536.1423,57034.2325,29715.9248,23484.8,8711.8506,5059.7522,4301.005012,2560.19649,4272.0879,10756.2258,14767.449,23957.5666,27415.78632,66164.39481,12166.91341,4550.330091,41808.90693,23955.08258,15949.21874,4082.794735,3124.834722,2063.984046,1324.826961,1795.001884,7938.506188,7320.934126,32593.58373,1.833359227,1.231812375,1.362980317,1.875939136,1.364164641,1.240485175,1.472473379,2.133795884,1.619206342,2.083836365,1.932476139,2.379990761,1.354943304,2.017153651,0.73503935,5.651403208,4.039169179,4.082714903,6.026862385,4.169116992,3.553675775,4.256885312,5.822173836,4.457633824,5.650051165,5.696957119,6.284558881,4.729062384,6.28321837,3.590426882,5.463195521,3.900783227,3.948867266,5.822107972,4.030976076,3.439745796,4.120178016,5.640694649,4.318144237,5.474571745,5.511460714,6.092520699,4.562701947,6.072865068,3.450366388,1840.058062,4178.756704,839.8997678,293.2320163,2829.797618,1727.797725,1139.989579,308.8928277,234.3484572,157.1266288,92.904463,140.2404066,471.4849195,486.3420752,1388.696962
0.272727273,1.1,55289.28328,89652.33233,18241.58985,9389.75653,62737.65575,32687.51728,25833.28,9583.03566,5565.72742,4731.105513,2816.216139,4699.29669,11831.84838,16244.1939,26353.32326,28305.17578,68182.18898,12573.09566,4691.965021,43176.92401,24791.28506,16500.90849,4232.427,3238.3423,2140.107339,1369.76668,1862.979414,8165.955625,7555.96414,33260.84607,1.953327678,1.314893723,1.45084316,2.001241801,1.453036713,1.318508387,1.565567133,2.264193963,1.718696452,2.210686084,2.055982366,2.522463026,1.448923913,2.149850582,0.792322697,6.004160731,4.298771652,4.333452737,6.41087565,4.427986218,3.766968365,4.512801816,6.161642834,4.718574303,5.978264759,6.044394945,6.643575398,5.041403588,6.677550161,3.854258924,5.820566391,4.163531297,4.203022272,6.21088064,4.293278977,3.656096643,4.379765974,5.98533971,4.583038218,5.807826266,5.863702953,6.457234394,4.878540315,6.472282408,3.71616489,1899.790487,4306.552584,868.0225167,302.3647394,2922.598605,1788.110133,1179.664857,320.2169342,242.8837446,162.92173,96.05589375,145.551374,485.056907,501.961839,1418.307531
0.25,1.2,60315.58176,97802.54436,19899.9162,10243.37076,68441.079,35659.10976,28181.76,10454.22072,6071.70264,5161.206015,3072.235788,5126.50548,12907.47096,17720.9388,28749.07992,29142.31168,70078.12872,12955.77582,4825.115978,44464.96398,25580.14023,17021.31246,4373.815439,3345.572829,2212.051376,1412.123218,1927.283462,8379.313386,7777.114841,33882.43292,2.069691054,1.395621518,1.535988001,2.122927367,1.539213639,1.394015413,1.655674911,2.390183323,1.814846948,2.333221584,2.175614527,2.659964443,1.54039721,2.278600633,0.848495147,6.34672442,4.551285643,4.57671523,6.784227785,4.679294262,3.973652209,4.760783048,6.49008308,4.971077836,6.295755158,6.381361056,6.990559914,5.34569329,7.060605451,4.11292966,6.167191133,4.418815674,4.449292147,6.588423722,4.54760951,3.865470347,4.630977193,6.318329189,4.839017122,6.12974664,6.204896276,6.809223251,5.185910915,6.859814797,3.976565912,1956.014674,4426.640601,894.5205459,310.9505761,3009.980467,1845.007544,1217.097767,330.9172539,250.9477643,168.3986735,99.02617712,150.5753385,497.7899224,516.6593946,1445.924979
0.230769231,1.3,65341.88024,105952.7564,21558.24255,11096.98499,74144.50225,38630.70224,30530.24,11325.40578,6577.67786,5591.306516,3328.255437,5553.71427,13983.09354,19197.6837,31144.83658,29934.26327,71868.87812,13318.11567,4950.939323,45683.82797,26327.96423,17514.60946,4508.048706,3447.356635,2280.367327,1452.243131,1988.395704,8580.52631,7986.26757,34464.92688,2.18284578,1.474250874,1.618715671,2.241389819,1.622992327,1.467287858,1.743129932,2.512263402,1.908035216,2.451932392,2.291803188,2.793062899,1.629631218,2.403836778,0.903667566,6.680177867,4.79745455,4.813302488,7.148041597,4.923846589,4.174441875,5.001685852,6.808701377,5.21606592,6.603697518,6.70898003,7.326839836,5.642764778,7.43358005,4.366940673,6.504251604,4.667445897,4.68855024,6.955960534,4.794846405,4.068647772,4.874747877,6.640983572,5.087089046,6.441618939,6.536268667,7.149941003,5.485719733,7.236766131,4.232110325,2009.205185,4540.074324,919.6123085,319.0640584,3092.674759,1898.945517,1252.587447,341.0761571,258.6028198,173.5994187,101.8396154,155.3499328,509.799779,530.5597377,1471.834815
0.214285714,1.4,70368.17872,114102.9684,23216.5689,11950.59922,79847.9255,41602.29472,32878.72,12196.59084,7083.65308,6021.407017,3584.275086,5980.92306,15058.71612,20674.4286,33540.59324,30686.68312,73567.73987,13662.64552,5070.358637,46842.15472,27039.81807,17984.14715,4636.000427,3544.359861,2345.497582,1490.403872,2046.703078,8771.14609,8184.92621,35013.53901,2.293117781,1.550991897,1.699273312,2.356953438,1.704616834,1.538556754,1.828205682,2.630843338,1.998570506,2.567219452,2.404901888,2.922223123,1.716847031,2.525915087,0.957932108,7.005417512,5.03789429,5.043875933,7.503246917,5.162309399,4.369927388,5.236217875,7.118492845,5.454298582,6.903060688,7.028181153,7.653508693,5.93330943,7.797463498,4.616710828,6.832719462,4.910088625,4.921513977,7.314497951,5.035711918,4.26626955,5.111846265,6.954384597,5.328080026,6.744496502,6.858828429,7.480577301,5.778714045,7.604208708,4.483247563,2059.741487,4647.694864,943.4726391,326.7647158,3171.266617,1950.289087,1286.373584,350.759745,265.8988996,178.5576437,104.5156654,159.9053875,521.1787952,543.762787,1496.263268
0.2,1.5,75394.4772,122253.1805,24874.89525,12804.21345,85551.34875,44573.8872,35227.2,13067.7759,7589.6283,6451.507518,3840.294735,6408.13185,16134.3387,22151.1735,35936.3499,31404.17048,75185.52134,13991.42568,5184.124616,47946.97484,27719.82765,18432.65408,4758.383786,3637.126183,2407.80335,1526.831455,2102.521763,8952.431525,8374.314066,35532.47051,2.400779134,1.626020253,1.777867089,2.469889209,1.784290856,1.608014587,1.911130098,2.74626354,2.086710199,2.679416289,2.51520541,3.047831401,1.80222978,2.645132882,1.011366488,7.323195741,5.273122521,5.268990312,7.850624891,5.39524172,4.56060308,5.464972098,7.420290149,5.686411917,7.194655224,7.339743548,7.971480688,6.217909104,8.153086519,4.862594779,7.153405812,5.147301208,5.14878178,7.664877353,5.270808828,4.458869423,5.34291254,7.259432274,5.562677488,7.039255556,7.173416287,7.802121001,6.065519522,7.963037889,4.730356495,2107.932338,4750.185602,966.2439121,334.100935,3246.232278,1999.335839,1318.651568,360.0219798,272.876805,183.3008467,107.0701764,164.2664052,532.0018719,556.3498205,1519.39288
0.1875,1.6,80420.77568,130403.3925,26533.2216,13657.82768,91254.772,47545.47968,37575.68,13938.96096,8095.60352,6881.608019,4096.314384,6835.34064,17209.96128,23627.9184,38332.10656,32090.52363,76731.13535,14306.15891,5292.856627,49004.09582,28371.40649,18862.38729,4875.78958,3726.105882,2467.583908,1561.712735,2156.113913,9125.419351,8555.441164,36025.16151,2.506059939,1.699484725,1.854671248,2.580426534,1.862186629,1.675823851,1.992095668,2.858811015,2.172671356,2.788804059,2.622962785,3.170213131,1.885936483,2.761741674,1.06403705,7.634151889,5.503579692,5.489116708,8.190839884,5.623118484,4.746888306,5.688451648,7.71479883,5.912945008,7.479167821,7.64432861,8.281529812,6.49705949,8.501155178,5.104896387,7.466996619,5.379555672,5.370859387,8.007810993,5.5006468,4.646897975,5.568487235,7.55688542,5.791461136,7.326634741,7.480742483,8.115405085,6.346666773,8.314011081,4.973760458,2154.032733,4848.110158,988.0438004,341.1126385,3317.965153,2046.33198,1349.583053,368.907564,279.5703305,187.8518109,109.5162517,168.4534676,542.3307035,568.3879458,1541.373248
0.176470588,1.7,85447.07416,138553.6045,28191.54795,14511.44191,96958.19525,50517.07216,39924.16,14810.14602,8601.57874,7311.708521,4352.334033,7262.54943,18285.58386,25104.6633,40727.86322,32748.92008,78212.02824,14608.27061,5397.072341,50018.377,28997.415,19275.23777,4988.713466,3811.676645,2525.090373,1595.204185,2207.699647,9290.974643,8729.15225,36494.46715,2.609157003,1.771512741,1.929834729,2.688761794,1.938451446,1.742123295,2.071266797,2.96873054,2.256639149,2.895622509,2.728386796,3.289645601,1.968101794,2.875956631,1.116001038,7.938835076,5.729644562,5.704659482,8.524462993,5.846347533,4.929142689,5.907088047,8.002623254,6.134359721,7.757186619,7.942503877,8.584318552,6.771187357,8.842276042,5.343878664,7.774078582,5.607256266,5.588179063,8.343908603,5.725661662,4.830739941,5.789031965,7.84739119,6.014925467,7.607263909,7.781413875,8.421139378,6.622610798,8.657776238,5.213738351,2198.255993,4941.939442,1008.970816,347.8331943,3386.794434,2091.483821,1379.303491,377.4540012,286.0078246,192.2296533,111.8648642,172.4837722,552.2167742,579.9332902,1562.32862
0.166666667,1.8,90473.37264,146703.8165,29849.8743,15365.05614,102661.6185,53488.66464,42272.64,15681.33108,9107.55396,7741.809022,4608.353682,7689.75822,19361.20644,26581.4082,43123.61988,33382.04804,79634.49205,14898.96742,5497.209351,50993.93024,29600.27693,19672.8076,5097.575901,3894.158802,2580.535797,1627.438308,2257.465832,9449.827518,8896.161841,36942.78508,2.710240322,1.842214507,2.003486111,2.795064761,2.013212514,1.807032575,2.148785311,3.076232975,2.338773127,3.000078136,2.831661059,3.40636749,2.04884231,2.987963649,1.167308306,8.237721387,5.951645893,5.915969007,8.851989744,6.065282399,5.107677556,6.121254923,8.284286083,6.351055548,8.029220179,8.234760965,8.880419414,7.040663546,9.176975107,5.579771319,8.075158468,5.830752594,5.80111395,8.673697288,5.946229789,5.010727117,6.004944885,8.13150707,6.233496538,7.881685563,8.075954146,8.719934876,6.893745561,8.994893158,5.450532988,2240.782593,5032.07139,1029.10836,354.2908089,3452.998695,2134.966179,1407.92766,385.6931057,292.2133318,196.4505932,114.1253058,176.3719186,561.7035404,591.0333282,1582.363412
0.157894737,1.9,95499.67112,154854.0286,31508.20065,16218.67037,108365.0418,56460.25712,44621.12,16552.51614,9613.52918,8171.909523,4864.373331,8116.96701,20436.82902,28058.1531,45519.37654,33992.20445,81003.89678,15179.28099,5593.641255,51934.26951,30182.0663,20056.46749,5202.737052,3973.826696,2634.102705,1658.528421,2305.572658,9602.600417,9057.080323,37372.14975,2.809458012,1.911686162,2.075737361,2.899483472,2.086580648,1.870655791,2.224774628,3.181501578,2.419211988,3.102350378,2.932945417,3.520586082,2.12825986,3.097924729,1.218002626,8.531227014,6.169871399,6.123351413,9.17385365,6.28023209,5.282764694,6.331278491,8.560243139,6.563380952,8.295711969,8.52152929,9.170331349,7.30581294,9.505712287,5.812776559,8.370677811,6.050349609,6.009988963,8.997636666,6.162679049,5.187148164,6.216572433,8.409717561,6.447544692,8.150371117,8.364819168,9.012322203,7.160415092,9.325849678,5.684357508,2281.76674,5118.845639,1048.527738,360.5095643,3516.816011,2176.928645,1435.553771,393.6521297,298.2074461,200.5285258,116.3055228,180.130422,570.8280527,601.728616,1601.56628
