NTV,TTV,CTVP,CTVNP,DD,STRP,STRNP,YOT,CIN,DISP,DISNP,SEM,PAID_SOCIAL,DCI,DRD
0.008061839,0.008191398,0.000669396,0.003153357,0.006065808,0.000751159,0.003387848,0.003231784,0.006975281,0.003773633,0.001283466,0.002615274,0.002526552,0.003261153,0.000753046
0.007139879,0.007415462,0.000540974,0.002672868,0.005356983,0.000637451,0.002967872,0.002806223,0.006157205,0.003324921,0.001063416,0.002276729,0.00214902,0.002724276,0.00062417
0.006323696,0.006713078,0.000440155,0.002265766,0.00473213,0.000541489,0.002599965,0.002436882,0.005435076,0.002930596,0.000882123,0.001982007,0.001828604,0.002275784,0.000518568
0.005601107,0.006077266,0.000360481,0.00192082,0.004181073,0.000460381,0.002277672,0.002116308,0.004797639,0.002583911,0.000732614,0.001725438,0.00155657,0.001901127,0.000431844
0.004961338,0.005501712,0.000297087,0.00162852,0.003694915,0.000391735,0.001995335,0.001838036,0.004234962,0.002278982,0.000609188,0.001502081,0.001325534,0.001588148,0.00036046
0.004394862,0.004980699,0.000246297,0.001380813,0.003265871,0.000333568,0.001748002,0.001596464,0.003738277,0.00201067,0.000507188,0.001307637,0.001129248,0.001326695,0.000301568
0.003893253,0.004509056,0.000205323,0.001170883,0.002887115,0.000284229,0.001531331,0.001386735,0.003299844,0.001774486,0.000422801,0.001138364,0.000962425,0.001108284,0.000252867
0.003449056,0.004082099,0.000172043,0.000992955,0.002552665,0.00024234,0.00134152,0.001204637,0.002912831,0.001566505,0.000352908,0.000991004,0.00082059,0.000925829,0.000212499
0.003055678,0.003695592,0.000144833,0.000842138,0.002257264,0.000206745,0.00117524,0.001046517,0.002571208,0.001383293,0.000294951,0.000862719,0.000699956,0.000773412,0.00017896
0.002707285,0.0033457,0.000122443,0.000714293,0.001996296,0.000176475,0.001029573,0.000909208,0.002269652,0.001221844,0.000246835,0.00075104,0.000597313,0.000646087,0.000151029
0.002398717,0.003028952,0.000103909,0.000605912,0.001765701,0.000150716,0.000901964,0.000789962,0.002003462,0.001079526,0.000206841,0.000653819,0.000509946,0.000539723,0.000127714
0.002125407,0.002742206,8.85E-05,0.000514024,0.001561907,0.000128782,0.000790172,0.000686396,0.001768492,0.000954031,0.000173557,0.000569182,0.000435551,0.000450869,0.000108207
0.001883314,0.002482618,7.56E-05,0.000436113,0.001381769,0.000110092,0.000692239,0.000596441,0.00156108,0.000843337,0.000145821,0.000495502,0.000372176,0.000376644,9.19E-05
0.001668862,0.002247615,6.47E-05,0.000370048,0.001222517,9.42E-05,0.000606444,0.000518304,0.001377993,0.000745668,0.00012268,0.000431359,0.000318167,0.000314638,7.81E-05
0.001478886,0.002034866,5.55E-05,0.000314022,0.00108171,8.06E-05,0.000531285,0.000450427,0.001216379,0.000659466,0.000103347,0.00037552,0.000272121,0.000262839,6.65E-05
0.001310585,0.001842264,4.78E-05,0.000266506,0.000957195,6.90E-05,0.000465441,0.000391459,0.00107372,0.000583365,8.72E-05,0.000326909,0.000232846,0.000219569,5.68E-05
0.001161478,0.001667899,4.12E-05,0.000226203,0.000847076,5.91E-05,0.000407759,0.000340229,0.000947792,0.000516161,7.36E-05,0.000284591,0.000199334,0.000183422,4.85E-05
0.009067442,0.015959798,2.67E-04,0.001276386,0.006540189,3.59E-04,0.002882913,0.002265069,0.007133509,0.004022228,4.21E-04,0.001913882,0.001214954,0.000930737,3.00E-04
