Media,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
Linear TV,946806.5,41165.5,0,0,957168.6429,885603.3571,0,739623.5,105660.5,0,0,1486646.83
VOL,363350.7221,0,0,360526.559,0,432832.9965,0.01477,234384.7297,0,0,0,613834.0624
Display,39416.56113,19200.60182,11728.38572,39690.92264,15770.86094,42717.33942,30675.6331,42306.71704,46977.48429,25201.2942,15073.36264,44146.65844
Radio,0,0,0,0,0,0,0,0,0,0,0,240957
Affiliation,12032,0,0,12323,0,9628,1296,11719,0,348,1220,22320
Email,0,0,0,0,0,0,0,0,0,0,0,0
Search,110936.43,49980.39,63301.82,47893.36,47013.99,69509.3,52844.19,85675.93,142088.42,96496.87,78464.44,133879.6
Paid Social Media,426092.0489,132612.4352,103799.1801,404875.6639,76967.50606,467814.6124,146609.7888,454750.3767,259544.0701,189560.3779,191489.9853,693557.3851
