Media,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
Linear TV,946806,41166,0,0,957169,885603,0,739624,105660,0,0,1907155.8
VOL,363351,0,0,360527,0,432833,0,234385,0,859255.3,859255.3,859255.3
Display,39417,19201,11728,39691,15771,42717,30676,42307,46977,63002.5,37682.5,93226.5
Radio,0,0,0,0,0,0,0,0,0,0,0,602392.5
Affiliation,12032,0,0,12323,0,9628,1296,11719,0,870,3050,26582.2
Email,0,0,0,0,0,0,0,0,0,0,0,0
Search,110936,49980,63302,47893,47014,69509,52844,85676,142088,241242.5,196160,244521.2
Paid Social Media,426092,132612,103799,404876,76968,467815,146610,454750,259544,473900,478725,886918.4
