Pct_Delta,PCT_Change,M_P_NTV,M_P_FABING,M_P_STR,M_P_SNP,M_P_TIK,M_P_DIS_BAN,M_P_TWT,M_P_RAD,M_P_DIS_AFF,M_P_CEM,M_P_SEM,TlncT_P_NTV,TlncT_P_FABING,TlncT_P_STR,TlncT_P_SNP,TlncT_P_TIK,TlncT_P_DIS_BAN,TlncT_P_TWT,TlncT_P_RAD,TlncT_P_DIS_AFF,TlncT_P_CEM,TlncT_P_SEM,CPT_P_NTV,CPT_P_FABING,CPT_P_STR,CPT_P_SNP,CPT_P_TIK,CPT_P_DIS_BAN,CPT_P_TWT,CPT_P_RAD,CPT_P_DIS_AFF,CPT_P_CEM,CPT_P_SEM,MCPT_P_NTV,MCPT_P_FABING,MCPT_P_STR,MCPT_P_SNP,MCPT_P_TIK,MCPT_P_DIS_BAN,MCPT_P_TWT,MCPT_P_RAD,MCPT_P_DIS_AFF,MCPT_P_CEM,MCPT_P_SEM,nMCPT_P_NTV,nMCPT_P_FABING,nMCPT_P_STR,nMCPT_P_SNP,nMCPT_P_TIK,nMCPT_P_DIS_BAN,nMCPT_P_TWT,nMCPT_P_RAD,nMCPT_P_DIS_AFF,nMCPT_P_CEM,nMCPT_P_SEM,nMTIncT_P_NTV,nMTIncT_P_FABING,nMTIncT_P_STR,nMTIncT_P_SNP,nMTIncT_P_TIK,nMTIncT_P_DIS_BAN,nMTIncT_P_TWT,nMTIncT_P_RAD,nMTIncT_P_DIS_AFF,nMTIncT_P_CEM,nMTIncT_P_SEM
0.2,1,51626.7483,24070.3897,20049.29084,4198.543406,3741.2414,3729.058214,3466.559799,2409.57,708.86,128.23222,9780.8474,93966.36504,34393.66663,21025.26493,9293.730383,6336.029416,6028.66026,3795.299401,1371.420241,835.9953438,63.67484482,14577.59204,0.549417318,0.69984948,0.95358089,0.451760836,0.590470964,0.618555044,0.913382432,1.756988797,0.847923383,2.013859953,0.670950825,2.0967483,1.709411071,2.279397007,1.250331161,1.434005952,1.330720997,2.037982422,3.326687347,1.465876051,2.717778109,1.497057462,2.0203206,1.659837914,2.214312087,1.211057219,1.392603936,1.295844888,1.982853319,3.250029519,1.435769196,2.683743683,1.456560825,5110.748095,2900.330146,1810.882121,693.3682968,537.3015692,575.5408303,349.65368,148.279884,98.74289018,9.556219606,1343.005693
0.272727273,1.1,56789.42313,26477.42867,22054.21993,4618.397747,4115.36554,4101.964035,3813.215779,2650.527,779.746,141.055442,10758.93214,96428.59421,35801.77672,21904.85242,9629.524894,6596.923828,6308.888664,3965.397031,1443.851755,884.3527748,68.3931189,15230.93018,0.588927212,0.739556276,1.006818923,0.479608059,0.623830993,0.650188053,0.961622695,1.835733476,0.881713748,2.062421546,0.70638707,2.240414053,1.801952946,2.400846066,1.323809724,1.51128368,1.39565736,2.140709753,3.468999847,1.521638751,2.78035132,1.572518721,2.1654081,1.753995419,2.337936231,1.285639455,1.471241545,1.362099642,2.08757765,3.395689258,1.492985646,2.748458644,1.533489036,5245.147383,3019.098953,1886.639989,718.4592427,559.4411814,602.3001414,365.3244495,156.111281,104.4545877,10.26433069,1403.196487
0.25,1.2,61952.09796,28884.46764,24059.14901,5038.252087,4489.48968,4474.869857,4159.871759,2891.484,850.632,153.878664,11737.01688,98732.93382,37137.57129,22739.94514,9946.681002,6844.477709,6576.078758,4127.332099,1513.311833,930.9380763,73.00520583,15852.91625,0.627471458,0.77776943,1.058012623,0.506525954,0.655928746,0.680476926,1.007883945,1.910699393,0.913736393,2.107776593,0.740369576,2.380687519,1.891150885,2.517816569,1.394928469,1.585751267,1.457943961,2.239390657,3.604757162,1.574601699,2.838960139,1.645007561,2.306933859,1.844610209,2.456813223,1.357728479,1.546901545,1.42553848,2.188005762,3.534359148,1.547208855,2.808900444,1.607261338,5370.947045,3131.769248,1958.565575,742.1590053,580.4493109,627.8146705,380.2432179,163.6214023,109.9569715,10.95650537,1460.498875
0.230769231,1.3,67114.77279,31291.50661,26064.0781,5458.106428,4863.61382,4847.775678,4506.527739,3132.441,921.518,166.701886,12715.10162,100901.4985,38410.36184,23536.24187,10247.66729,7080.406349,6831.853898,4282.131343,1580.156003,975.9564451,77.52207869,16447.49391,0.665151398,0.814663156,1.107401863,0.532619402,0.68691168,0.709584214,1.052402969,1.982361865,0.944220415,2.150379464,0.77307228,2.517913395,1.977381411,2.630815731,1.463944732,1.657725651,1.517889977,2.334492296,3.734754413,1.625114694,2.894145772,1.714867152,2.445271779,1.932095525,2.571500076,1.427605765,1.619931839,1.486501965,2.284651692,3.666918417,1.59882675,2.865674593,1.678255331,5489.350785,3239.126245,2027.149705,764.6517774,600.4714152,652.2393903,394.5045763,170.8486879,115.2742785,11.63439048,1515.276178
0.214285714,1.4,72277.44762,33698.54558,28069.00718,5877.960768,5237.73796,5220.681499,4853.183719,3373.398,992.404,179.525108,13693.18636,102951.8767,39627.64797,24298.33594,10534.46387,7306.091546,7077.527713,4430.624435,1644.673498,1019.57552,81.95282373,17017.84989,0.702050802,0.850379654,1.155182283,0.557974363,0.716900127,0.737641972,1.095372399,2.051104979,0.973350164,2.190590877,0.804636687,2.652378221,2.060953963,2.740260106,1.531070795,1.727467249,1.575748399,2.426397435,3.859638995,1.673461419,2.946341589,1.782378664,2.580730926,2.016788658,2.682451083,1.495501996,1.690616329,1.545266765,2.377933624,3.794077537,1.648151484,2.919261798,1.746778205,5601.316038,3341.80237,2092.787999,786.0853122,619.6246743,675.6997067,408.1849611,177.8244101,120.426309,12.29934966,1567.821985
0.2,1.5,77440.12245,36105.58455,30073.93627,6297.815109,5611.8621,5593.587321,5199.839699,3614.355,1063.29,192.34833,14671.2711,104898.3091,40795.57264,25029.99243,10808.68655,7522.665342,7314.180863,4573.493025,1707.10343,1061.934429,86.30507604,17566.60239,0.73823995,0.885036836,1.201515995,0.582662387,0.745993853,0.764759229,1.136951488,2.117244296,1.001276511,2.228702399,0.835179779,2.784323578,2.142126658,2.846496936,1.596484354,1.795193251,1.631729404,2.515424455,3.979946274,1.719875609,2.99590047,1.847775972,2.713570586,2.098969294,2.79004269,1.561609182,1.759190384,1.602061304,2.468197275,3.916420226,1.695438526,2.970050611,1.813083915,5707.618062,3440.315649,2155.804739,806.5801844,638.0050904,698.2987861,421.3471712,184.5744221,125.4294961,12.95252877,1618.377503
0.1875,1.6,82602.79728,38512.62352,32078.86535,6717.669449,5985.98624,5966.493142,5546.495679,3855.312,1134.176,205.171552,15649.35584,106752.5026,41919.24054,25734.34207,11071.67337,7731.06861,7542.714969,4711.305146,1767.646207,1103.150201,90.58533239,18095.93319,0.773778555,0.918733809,1.246539168,0.606743825,0.774276693,0.791027258,1.177273708,2.181042782,1.028124728,2.264953349,0.864799603,2.913955615,2.221117569,2.949819414,1.660336025,1.86108712,1.686009894,2.601841637,4.096124918,1.764552483,3.043113923,1.91125615,2.844011059,2.178872508,2.894591089,1.626089267,1.825851797,1.657076804,2.555732403,4.034432908,1.740899996,3.018359958,1.877385312,5808.894239,3535.096557,2216.469571,826.2362447,655.6924556,720.1227038,434.0435385,191.1203923,130.2976625,13.59490285,1667.143739
0.176470588,1.7,87765.47211,40919.66249,34083.79443,7137.52379,6360.11038,6339.398964,5893.151658,4096.269,1205.062,217.994774,16627.44058,108524.2094,43002.94678,26414.02065,11324.54648,7932.093128,7763.891501,4844.539996,1826.471805,1143.322426,94.7991812,18607.68288,0.808717913,0.951554848,1.290367524,0.630270166,0.801819933,0.816523384,1.216452266,2.242722274,1.054000142,2.299542794,0.893579318,3.0414521,2.298112987,3.050477859,1.722754871,1.925305556,1.738740454,2.685877595,4.208555316,1.807657017,3.088225783,1.972987133,2.972241577,2.256698201,2.996365002,1.689080417,1.890768735,1.710475264,2.640784767,4.148525935,1.784714241,3.064455121,1.939862924,5905.675555,3626.507299,2275.009514,845.1372375,672.7539188,741.2441554,446.3182106,197.4806987,135.0425712,14.22731059,1714.290259
0.166666667,1.8,92928.14694,43326.70146,36088.72352,7557.378131,6734.23452,6712.304785,6239.807638,4337.226,1275.948,230.817996,17605.52532,110221.6469,44050.34479,27071.27148,11568.2575,8126.412486,7978.360441,4973.606183,1883.725894,1182.536724,98.9514754,19103.4209,0.843102508,0.983572357,1.333100425,0.653285781,0.828684802,0.841313806,1.254584181,2.302471932,1.078992284,2.332638246,0.921590191,3.166967734,2.373273603,3.148688079,1.783852539,1.987983707,1.790050546,2.767729069,4.317563255,1.849330086,3.131442256,2.033113442,3.098426252,2.332618106,3.095595157,1.750701691,1.95408565,1.762395374,2.72356498,4.259049209,1.82703286,3.108559335,2.000671465,5998.409475,3714.855969,2331.617779,863.3541819,689.2466071,761.7251935,458.2088317,203.6710912,139.6743351,14.85048031,1759.961656
0.157894737,1.9,98090.82177,45733.74043,38093.6526,7977.232471,7108.35866,7085.210606,6586.463618,4578.183,1346.834,243.641218,18583.61006,111851.8103,45064.57213,27708.02209,11803.62131,8314.605246,8186.681833,5098.85543,1939.534457,1220.86736,103.0464645,19584.49821,0.876971249,1.014849099,1.374823958,0.675829244,0.854924371,0.865455718,1.291753357,2.360454584,1.103177989,2.364382117,0.948893858,3.29063824,2.446739217,3.24463773,1.843726429,2.049239134,1.840052446,2.847566848,4.42343027,1.889693082,3.172939421,2.091760534,3.222708616,2.406781091,3.192481456,1.811056591,2.015927741,1.812956957,2.804255195,4.366303922,1.86798596,3.150862384,2.059944738,6087.476931,3800.407158,2386.460384,880.9478963,705.2195887,781.6192853,469.7478054,209.7051915,144.2017262,15.46504978,1804.282389
