Pct_Delta,PCT_Change,M_P_LTV,M_P_STR,M_P_YOT,M_P_CIN,M_P_DIS,M_P_SEM,M_P_Paid_Social,M_P_DCI,M_P_DRD,M_P_LRD,TlncT_P_LTV,TlncT_P_STR,TlncT_P_YOT,TlncT_P_CIN,TlncT_P_DIS,TlncT_P_SEM,TlncT_P_Paid_Social,TlncT_P_DCI,TlncT_P_DRD,TlncT_P_LRD,CPT_P_LTV,CPT_P_STR,CPT_P_YOT,CPT_P_CIN,CPT_P_DIS,CPT_P_SEM,CPT_P_Paid_Social,CPT_P_DCI,CPT_P_DRD,CPT_P_LRD,MCPT_P_LTV,MCPT_P_STR,MCPT_P_YOT,MCPT_P_CIN,MCPT_P_DIS,MCPT_P_SEM,MCPT_P_Paid_Social,MCPT_P_DCI,MCPT_P_DRD,MCPT_P_LRD,nMCPT_P_LTV,nMCPT_P_STR,nMCPT_P_YOT,nMCPT_P_CIN,nMCPT_P_DIS,nMCPT_P_SEM,nMCPT_P_Paid_Social,nMCPT_P_DCI,nMCPT_P_DRD,nMCPT_P_LRD,nMTIncT_P_LTV,nMTIncT_P_STR,nMTIncT_P_YOT,nMTIncT_P_CIN,nMTIncT_P_DIS,nMTIncT_P_SEM,nMTIncT_P_Paid_Social,nMTIncT_P_DCI,nMTIncT_P_DRD,nMTIncT_P_LRD
0.2,1,25355.4312,42693.03948,10634.83519,7264.033879,51560.13538,25115.94303,51445.27079,2386.043149,13871.08227,4224.0325,21514.13215,28059.22002,6418.230307,5309.136068,25494.46748,23283.92952,25727.4408,1456.276992,9495.79989,3464.944382,1.178547711,1.521533366,1.656973135,1.368213922,2.022404877,1.078681457,1.999626438,1.638454196,1.460759749,1.219076566,4.344693399,5.109450304,4.893768282,4.631261791,5.896368969,3.873137698,6.192630524,5.05598865,4.977631063,4.261927546,4.505483501,5.29069623,5.058214404,4.797185742,6.093011539,4.014497593,5.987634595,5.228734731,5.154468348,4.416592631,1125.536524,1613.891164,420.4976042,302.8456378,1692.435179,1251.262079,1718.383778,91.26655956,538.2158286,191.2801498
0.272727273,1.1,27890.97432,46962.34343,11698.31871,7990.437267,56716.14891,27627.53733,56589.79787,2624.647464,15258.19049,4646.43575,22056.07327,28837.54108,6621.414084,5455.13387,26312.46391,23886.72658,26558.19068,1500.351137,9755.34737,3557.113685,1.264548498,1.628514141,1.766740241,1.464755487,2.155486051,1.156606253,2.130785133,1.749355467,1.564084795,1.30623763,4.678632138,5.485273619,5.234096637,4.975440567,6.303222585,4.166566927,6.576681008,5.413702695,5.34433324,4.582906004,4.834178678,5.660076273,5.392159417,5.135601177,6.492134468,4.303169684,6.376838209,5.579891073,5.514880917,4.732327894,1153.907465,1659.424402,433.9010703,311.1782629,1747.226561,1284.055213,1774.854435,94.07522224,553.3461455,196.3699834
0.25,1.2,30426.51744,51231.64738,12761.80223,8716.840655,61872.16245,30139.13163,61734.32495,2863.251779,16645.29872,5068.839,22562.74629,29567.25557,6812.556965,5591.924287,27082.34174,24450.82384,27340.42827,1541.771302,9998.663937,3643.397569,1.348528989,1.732715681,1.873276406,1.558826659,2.284594259,1.232642787,2.257986757,1.857118351,1.664752293,1.391239606,5.004298642,5.850649803,5.563814408,5.31033828,6.697184029,4.452413619,6.949409055,5.760583359,5.700837567,4.895505712,5.155147295,6.019703823,5.716209792,5.465352205,6.879236606,4.584760174,6.754104214,5.920940882,5.865772727,5.040239485,1180.432515,1702.131829,446.5127311,318.9855046,1798.808967,1314.752811,1828.053669,96.71610765,567.539845,201.1348475
0.230769231,1.3,32962.06056,55500.95133,13825.28575,9443.244043,67028.17599,32650.72593,66878.85203,3101.856094,18032.40695,5491.24225,23039.11923,30255.10424,6993.294185,5720.787964,27810.61886,24981.64627,28080.71093,1580.900455,10228.00307,3724.618717,1.430699682,1.834432659,1.976934673,1.650689398,2.410164848,1.306988562,2.3816652,1.962081853,1.763042778,1.4743099,5.322601095,6.206748885,5.884142294,5.636991,7.079741186,4.731514982,7.312019764,6.09786562,6.048284023,5.200655977,5.4691945,6.370616782,6.031448435,5.787357697,7.255637904,4.860011516,7.120747205,6.252979858,6.208155108,5.341151485,1205.371671,1742.40433,458.4399883,326.3404316,1847.616347,1343.648089,1878.422309,99.21209292,580.9264309,205.6201651
0.214285714,1.4,35497.60368,59770.25527,14888.76927,10169.64743,72184.18953,35162.32024,72023.37911,3340.460408,19419.51517,5913.6455,23489.13981,30906.45628,7164.932479,5842.744568,28502.50577,25483.50788,28784.28221,1618.028324,10445.15935,3801.431651,1.511234722,1.933908395,2.078005524,1.740559991,2.532555913,1.379806909,2.502177354,2.064525299,1.859188024,1.555636414,5.634282517,6.554526069,6.196073696,5.956244794,7.452104458,5.004555581,7.665510067,6.42655566,6.387603532,5.499116237,5.776986375,6.713671814,6.338766199,6.102376308,7.622423818,5.12953754,7.477847916,6.576910443,6.542863018,5.635744814,1228.931536,1780.553382,469.7686837,333.301223,1893.995696,1370.974282,1926.313023,101.5814473,593.6091011,209.8620748
0.2,1.5,38033.1468,64039.55922,15952.25279,10896.05082,77340.20306,37673.91454,77167.90619,3579.064723,20806.6234,6336.04875,23916.00173,31525.66493,7328.534483,5958.620514,29162.24113,25959.90099,29455.40873,1653.390275,10651.5875,3874.366464,1.590280317,2.03134682,2.176731627,1.828619694,2.65206651,1.451234908,2.619821266,2.164682337,1.953382385,1.635376728,5.939961002,6.894774366,6.500430903,6.268802261,7.815275417,5.272104581,8.010716653,6.747487235,6.719569145,5.791517578,6.079082144,7.049586614,6.638907162,6.411043817,7.980500646,5.393853299,7.826308462,6.893487205,6.870596139,5.924590517,1251.279252,1816.831617,480.5686358,339.9150319,1938.229354,1396.920252,1972.012899,103.8390184,605.6715597,213.8898454
0.1875,1.6,40568.68992,68308.86317,17015.73631,11622.45421,82496.2166,40185.50884,82312.43327,3817.669038,22193.73163,6758.452,24322.32848,32116.3136,7484.977329,6069.095829,29793.32482,26413.69626,30097.61433,1687.180405,10848.48478,3943.859063,1.667960778,2.126921042,2.273318349,1.915022358,2.768949659,1.521389072,2.734849094,2.262750934,2.045790917,1.713664685,6.240158008,7.228161543,6.797904424,6.575255182,8.170094859,5.534641917,8.348350458,7.061361175,7.044831966,6.078391887,6.375957276,7.378970178,6.932500928,6.713899866,8.33063501,5.653396464,8.166891727,7.203349259,7.191948313,6.208173606,1272.552126,1851.447059,490.8974838,346.2206598,1980.550498,1421.641277,2015.759141,105.997055,617.1827344,217.7275453
0.176470588,1.7,43104.23304,72578.16712,18079.21983,12348.8576,87652.23014,42697.10314,87456.96035,4056.273353,23580.83985,7180.85525,24710.30391,32681.39088,7634.994444,6174.737476,30398.68417,26847.28466,30713.84709,1719.560869,11036.84955,4010.272654,1.744382959,2.220779629,2.367941452,1.999900019,2.88342185,1.590369517,2.847476582,2.358900709,2.13655534,1.79061522,6.535318796,7.55525677,7.089081296,6.876108092,8.517277375,5.792577194,8.679022066,7.36877384,7.363947077,6.360192907,6.66802046,7.702344996,7.220086254,7.011407568,8.673482715,5.908543043,8.500250161,7.507044005,7.507429131,6.486910572,1292.86445,1884.573261,500.8034306,352.2504568,2021.154201,1445.266721,2057.750271,108.065794,628.2001319,221.3952288
0.166666667,1.8,45639.77616,76847.47107,19142.70335,13075.26098,92808.24368,45208.69745,92601.48743,4294.877668,24967.94808,7603.2585,25081.76702,33223.41801,7779.206042,6276.0236,30980.79541,27262.68075,31306.60133,1750.66868,11217.52394,4073.913366,1.819639586,2.313051326,2.460752838,2.083367083,2.995670138,1.658263098,2.957890142,2.453278406,2.225798511,1.866327979,6.825827546,7.876550313,7.374465951,7.171795689,8.857436829,6.04626367,9.003260818,7.670238112,7.677392702,6.637311795,6.95562635,8.020163684,7.502128705,7.303968211,9.009610311,6.15961917,8.82694728,7.805044884,7.817480121,6.76116251,1312.312475,1916.356675,510.3272444,358.0317056,2060.205502,1467.905602,2098.154311,110.0538878,638.7722819,224.9097988
0.157894737,1.9,48175.31928,81116.77501,20206.18687,13801.66437,97964.25721,47720.29175,97746.01451,4533.481983,26355.05631,8025.66175,25438.28226,33744.54348,7918.141842,6373.361532,31541.77401,27661.59924,31878.00842,1780.62077,11391.22547,4135.041849,1.893811806,2.403848642,2.551884933,2.165523531,3.105857558,1.7251458,3.066252233,2.546012076,2.313627835,1.940890091,7.112018782,8.192468385,7.654495913,7.462695966,9.19110552,6.296008804,9.321529435,7.966199204,7.985584657,6.910088864,7.2390853,8.332821674,7.779034088,7.591932469,9.339511493,6.406910113,9.147474033,8.0977649,8.12248709,7.031245146,1330.97808,1946.92214,519.5037491,363.5876485,2097.845423,1489.650733,2137.114883,111.9687232,648.9405526,228.2856474
